event_date,dau
2015-05-29,69
2015-05-30,32
2015-05-31,44
2015-06-01,99
2015-06-02,70
2015-06-03,60
2015-06-04,57
2015-06-05,81
2015-06-06,54
2015-06-07,64
2015-06-08,100
2015-06-09,76
2015-06-10,91
2015-06-11,73
2015-06-12,67
2015-06-13,53
2015-06-14,64
2015-06-15,97
2015-06-16,75
2015-06-17,82
2015-06-18,82
2015-06-19,88
2015-06-20,62
2015-06-21,77
2015-06-22,85
2015-06-23,96
2015-06-24,97
2015-06-25,97
2015-06-26,81
2015-06-27,57
2015-06-28,56
2015-06-29,90
2015-06-30,79
2015-07-01,68
2015-07-02,63
2015-07-03,65
2015-07-04,45
2015-07-05,56
2015-07-06,78
2015-07-07,69
2015-07-08,91
2015-07-09,78
2015-07-10,59
2015-07-11,40
2015-07-12,41
2015-07-13,66
2015-07-14,59
2015-07-15,60
2015-07-16,89
2015-07-17,69
2015-07-18,31
2015-07-19,45
2015-07-20,62
2015-07-21,66
2015-07-22,56
2015-07-23,54
2015-07-24,68
2015-07-25,43
2015-07-26,42
2015-07-27,59
2015-07-28,53
2015-07-29,45
2015-07-30,70
2015-07-31,64
2015-08-01,36
2015-08-02,44
2015-08-03,43
2015-08-04,69
2015-08-05,51
2015-08-06,56
2015-08-07,38
2015-08-08,36
2015-08-09,34
2015-08-10,67
2015-08-11,65
2015-08-12,73
2015-08-13,62
2015-08-14,77
2015-08-15,32
2015-08-16,47
2015-08-17,63
2015-08-18,61
2015-08-19,70
2015-08-20,65
2015-08-21,57
2015-08-22,44
2015-08-23,60
2015-08-24,71
2015-08-25,67
2015-08-26,64
2015-08-27,63
2015-08-28,89
2015-08-29,47
2015-08-30,70
2015-08-31,86
2015-09-01,76
2015-09-02,70
2015-09-03,93
2015-09-04,71
2015-09-05,63
2015-09-06,66
2015-09-07,69
2015-09-08,82
2015-09-09,76
2015-09-10,57
2015-09-11,75
2015-09-12,50
2015-09-13,46
2015-09-14,82
2015-09-15,67
2015-09-16,53
2015-09-17,50
